"*Loc","Ag","Ag_INAA","Al","Al2O3","As","As_INAA","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br","Br_INAA","Ca","Ca_INAA","CaO","Cd","Ce_INAA","Cl'","Co","Co_INAA","Cond","Cr","Cr_INAA","Cs_INAA","Cu","Eu_INAA","F'","F_ionselect","Fe","Fe_INAA","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K2O","La","La_INAA","Li","LOI","Lu_INAA","Mass_INAA","Mg","MgO","Mn","MnO","Mo","Mo_INAA","Na","Na_INAA","Na2O","Nd_INAA","Ni","Ni_INAA","NO2'","NO3'","P","P2O5","Pb","pH","PO4'''","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","SiO2","Sm_INAA","Sn_INAA","SO4''","Sr","Sr_INAA","Sum","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA"
600,0.007,2.5,3570,9.94,0.2,0.25,0.001,1.5,31.9,460,0.08,0.014,0.001,3.4,1520,10000,2.1,0.011,30,0.001,5.1,10,1.6,39.8,120,0.5,11.4,0.6,0.0005,0.000001,9140,22900,3.22,4,0.01,0.5,0.0025,900,1.18,7.1,14,3.3,0.82,0.19,34.99,2780,1.54,110,0.05,0.1,0.5,70,27900,3.34,10,14.3,10,0.0005,0.0005,423,0.08,0.6,5.7,0.002,24,11,0.005,0.2,1.2,9.2,0.021,1.5,100,75.95,1.9,50,0.001,5.5,250,98.63,0.8,0.25,0.0015,4,2.8,407,0.41,0.25,19.1,0.5,2.7,1.2,7.8,25
615,0.008,2.5,3830,10.36,0.2,0.25,0.001,1.5,32.7,360,0.09,0.016,0.001,3.9,1650,10000,2.31,0.01,34,0.001,6.1,11,1.8,42.1,130,1,11.9,0.6,0.0005,0.000001,9680,25000,3.55,5,0.01,0.5,0.0025,900,1.21,7.4,15,3.4,0.72,0.2,32.04,2950,1.65,115,0.05,0.1,0.5,90,29000,3.47,10,15.1,10,0.0005,0.0005,397,0.09,0.8,6.3,0.002,29,20,0.005,0.05,1.4,9.9,0.034,1.5,110,78.07,2,50,0.001,6.6,250,101.93,0.25,0.25,0.0015,3,3.2,467,0.46,1.5,20.8,0.5,2.9,1.3,8.3,25
630,0.007,2.5,4080,10.12,0.2,0.25,0.004,1.5,34.5,450,0.09,0.013,0.001,3,1710,5000,2.15,0.01,30,0.001,5.3,10,1.7,44.6,120,0.5,13.1,0.8,0.0005,0.000001,9630,25200,3.23,5,0.01,0.5,0.0025,1000,1.19,7.9,15,3.6,0.77,0.21,34.01,3200,1.56,124,0.05,0.1,0.5,90,26800,3.4,10,16.2,140,0.0005,0.0005,393,0.08,0.8,5.9,0.002,56,9,0.005,0.05,1.4,9,0.042,1.5,100,75.77,2.1,50,0.0055,7,250,98.76,0.25,0.6,0.004,3,2.9,500,0.42,0.25,20.9,0.5,2.9,1.4,10.4,25
645,0.007,2.5,3370,10.41,0.2,0.25,0.006,1.5,28.9,430,0.08,0.011,0.001,3.3,1400,20000,2.24,0.01,28,0.001,5,11,1.6,37.2,120,0.5,10.7,0.7,0.0005,0.000001,8430,25700,3.39,4,0.01,0.5,0.0025,800,1.23,7.4,14,3.1,0.74,0.22,31.09,2660,1.64,103,0.05,0.1,0.5,70,26900,3.43,12,15,10,0.0005,0.0005,352,0.09,0.8,6.3,0.002,38,11,0.013,0.05,1.2,9,0.101,1.5,100,77.96,2,50,0.001,5.6,250,101.62,0.25,0.25,0.0015,4,2.9,400,0.45,0.25,17.5,0.5,2.5,1.1,7.4,25
660,0.009,2.5,3790,10.32,0.2,0.25,0.001,1.5,35.1,500,0.09,0.011,0.001,3.7,1540,20000,2.16,0.01,28,0.001,5.8,10,1.7,44.1,110,0.5,12.1,0.7,0.0005,0.000001,9750,24700,3.37,4,0.01,0.5,0.0025,1000,1.19,7.6,15,3.5,0.76,0.2,40.8,2920,1.59,113,0.05,0.1,0.5,70,26500,3.46,10,14.9,10,0.0005,0.0005,422,0.08,0.8,5.8,0.002,45,25,0.005,0.05,1.3,8.8,0.026,1.5,100,76.64,2,50,0.001,5.7,250,100.04,0.25,0.25,0.0015,4,3,449,0.42,1,20.4,0.5,2.7,1.3,8.5,25
675,0.007,2.5,3820,10.32,0.2,1.2,0.001,1.5,32.4,590,0.08,0.018,0.001,3.4,1780,20000,2.26,0.009,31,0.001,4.9,10,1.7,45.8,120,0.5,12,0.7,0.0005,0.000001,9770,24400,3.47,5,0.01,0.5,0.0025,900,1.21,8.1,15,3.2,0.7,0.2,32.08,2890,1.66,119,0.05,0.1,0.5,90,26900,3.44,8,15.2,80,0.0005,0.0005,413,0.09,0.7,5.8,0.002,50,8,0.005,0.05,1.4,8.9,0.005,1.5,110,77.02,2.1,50,0.001,7.5,250,100.67,0.25,0.25,0.005,4,2.7,504,0.45,0.25,22,0.5,3.2,1.2,8.8,25
690,0.007,2.5,3950,9.96,0.3,0.25,0.001,1.5,33.1,450,0.09,0.016,0.001,3.5,1770,30000,2.14,0.009,28,0.001,7,9,1.9,45.3,110,0.5,12.2,0.7,0.0005,0.000001,10200,23300,3.2,4,0.01,0.5,0.0025,900,1.18,8,13,3.4,0.71,0.19,44.24,3100,1.57,124,0.05,0.1,0.5,90,24000,3.39,11,15.7,10,0.0005,0.0005,416,0.08,0.9,5.8,0.002,7.5,11,0.013,0.05,1.4,8,0.021,1.5,100,76.25,1.8,50,0.001,7.1,250,98.94,0.25,0.25,0.0015,4,3.2,502,0.42,0.25,20.7,0.5,3,1.1,8.8,25
705,0.006,2.5,3750,10.14,0.2,0.25,0.001,1.5,32.9,450,0.08,0.014,0.001,3.9,1440,5000,2.19,0.011,29,0.001,4.6,10,1.8,40,110,0.5,11.4,0.6,0.0005,0.000001,9170,22900,3.33,5,0.01,0.5,0.0025,1000,1.19,7.7,13,3.5,0.7,0.15,40.83,3000,1.57,112,0.05,0.1,0.5,80,24800,3.33,9,13.8,10,0.0005,0.0005,355,0.08,0.7,5.9,0.002,37,7,0.005,0.05,1.2,8.3,0.029,1.5,80,76.65,1.7,50,0.001,5.6,250,99.67,0.25,0.25,0.016,4,2.9,450,0.44,1.6,18.9,0.5,2.5,1.2,8.6,25
720,0.007,2.5,4300,10.26,0.3,0.25,0.001,1.5,36.6,380,0.1,0.019,0.001,3.1,1770,30000,2.15,0.011,33,0.001,5.8,10,1.8,45.5,110,0.5,13.4,0.8,0.0005,0.000001,10700,24700,3.38,4,0.01,0.5,0.0025,1100,1.22,8.1,14,3.9,0.83,0.15,39.15,3350,1.61,129,0.05,0.1,4,100,25700,3.41,11,16.4,10,0.0005,0.0005,394,0.08,0.8,6,0.002,7.5,16,0.005,0.05,1.5,8.8,0.034,1.5,100,75.85,1.9,50,0.001,6.7,250,99.28,0.25,0.25,0.009,5,2.8,542,0.43,0.25,22.5,0.5,3.1,1.2,10.3,84
735,0.011,2.5,4020,10.13,0.3,0.25,0.001,1.5,34.8,400,0.1,0.016,0.001,3.3,1760,20000,2.25,0.009,28,0.001,6,9,2,45.1,110,0.5,12.9,0.7,0.0005,0.000001,10300,24000,3.41,4,0.01,0.5,0.0025,900,1.19,8.5,14,3.4,0.75,0.2,34.67,3100,1.64,125,0.05,0.1,0.5,90,25200,3.4,9,16.2,10,0.0005,0.0005,419,0.09,0.8,6,0.002,43,7,0.005,0.05,1.4,8.5,0.03,1.5,100,76.1,1.9,50,0.001,6.6,250,99.47,0.25,0.25,0.0015,4,2.9,498,0.46,0.25,22.6,0.5,3,1.1,8.8,25
750,0.01,2.5,4150,10.22,0.4,0.25,0.001,1.5,33.6,340,0.1,0.016,0.001,3.5,1880,20000,2.12,0.011,29,0.001,5.8,10,1.7,49.9,100,0.5,12.7,0.6,0.0005,0.000001,10500,22800,3.22,4,0.01,0.5,0.0025,900,1.19,8.5,13,3.5,0.71,0.18,34.04,3250,1.55,128,0.05,0.1,0.5,100,24100,3.42,9,16.9,10,0.0005,0.0005,429,0.08,0.5,6,0.002,27,10,0.013,0.05,1.5,8.3,0.037,1.5,90,76.8,1.8,50,0.001,7.4,250,99.79,0.25,0.25,0.003,4,3,525,0.41,0.9,22.6,0.5,3.3,1.2,8.9,25
765,0.008,2.5,3640,10.37,0.2,0.25,0.001,1.5,32.5,510,0.09,0.012,0.001,0.25,1530,5000,2.19,0.009,34,0.0032016,5.9,11,1.7,36.3,130,0.5,12.3,0.8,0.0005,0.000001,8380,26200,3.35,5,0.01,0.5,0.0025,900,1.21,7.2,16,3.2,0.76,0.19,37.18,2820,1.59,114,0.05,0.1,0.5,70,31100,3.47,17,14.9,10,0.0005,0.0005,426,0.08,0.8,5.9,0.002,44,10,0.005,0.05,1.2,11,0.024,1.5,100,76.98,2.4,50,0.001,5.5,250,100.5,0.25,0.25,0.0015,4,3.4,372,0.44,0.25,17.7,0.5,2.7,1.4,8.9,25
780,0.008,2.5,4130,10.1,0.2,0.25,0.002,1.5,34.9,550,0.1,0.019,0.001,4,1710,30000,2.22,0.011,37,0.001,5.4,11,1.7,39.4,130,0.5,14.1,0.9,0.0005,0.000001,9270,26500,3.47,6,0.01,0.5,0.0025,900,1.18,7.9,16,3.6,0.71,0.23,33.76,3220,1.62,125,0.05,0.1,0.5,80,31700,3.42,11,16.5,10,0.0005,0.0005,422,0.08,0.8,5.7,0.002,83,12,0.005,0.05,1.5,11,0.031,1.5,130,75.98,2.5,50,0.001,6.5,250,99.27,0.25,0.25,0.008,4,3.1,446,0.45,0.25,20.6,0.5,3,1.5,9.7,25
